Number,SMILEs,NumAtoms,MW,FSP3,Cm
302,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CCC=O)c2F)o1,30,452.3860000000002,0.375,464.7364991501207
303,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CC=O)c2F)o1,29,438.35900000000015,0.3333333333333333,458.7364991501207
304,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3ccncc3)c2F)o1,33,487.4350000000002,0.2631578947368421,474.55028034133784
305,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3cccc4ccccc34)c2F)o1,37,536.5070000000003,0.20833333333333334,523.41619915589
306,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3cnsn3)c2F)o1,32,494.45200000000017,0.3125,536.7891112988652
307,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3cnn(C)c3C)c2F)o1,34,504.46600000000024,0.3684210526315789,532.6354801047636
308,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3cn(C)nc3C)c2F)o1,34,504.46600000000024,0.3684210526315789,532.6354801047636
309,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3ccoc3)c2F)o1,32,476.4080000000002,0.2777777777777778,499.41619915589
310,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3ccco3)c2F)o1,32,476.4080000000002,0.2777777777777778,504.24627415444763
311,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CCc3ccccc3)c2F)o1,34,500.4740000000002,0.2857142857142857,469.15153664939965
312,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)Cc3ccccc3)c2F)o1,33,486.4470000000002,0.25,463.15153664939965
313,O=CCCS(=O)c1c(C(F)(F)F)ccc(C(=O)Nc2nnc(CC3CCCCC3)o2)c1F,32,475.46400000000034,0.5,437.2788617691288
314,O=CCS(=O)c1c(C(F)(F)F)ccc(C(=O)Nc2nnc(CC3CCCCC3)o2)c1F,31,461.4370000000003,0.47368421052631576,431.2788617691288
315,O=C(Nc1nnc(CC2CCCCC2)o1)c1ccc(C(F)(F)F)c(S(=O)Cc2ccncc2)c1F,35,510.5130000000001,0.391304347826087,447.0926429603461
